,Question Identifier,Grade level,Claim,Target,Type,Task model,Variant,Sub-variant,Prompt feature #,Prompt features,Stimulus #,Stimulus,Owner,Questions/comments/notes,# of drafted questions,# of approved questions,# of deployed questions,Exercise name,Recommend adding to exercise,Exercise Link
8.1.D.2.SR.1,8.1.D.2.SR.1.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,1,a,1,"The student is prompted to identify the solutions to linear equations with rational number coefficients, including equations with solutions that require expanding expressions using the distributive property and collecting like terms. ",1,The student is presented with a linear equation with rational number coefficients or a scenario that can be modeled by a linear equation. The stimulus is pure. Variables may be on either side of the equal sign,,,,,,Related to: Multistep equations with distribution,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/multistep_equations_with_distribution.html
8.1.D.2.SR.1,8.1.D.2.SR.1.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,1,b,1,"The student is prompted to identify the solutions to linear equations with rational number coefficients, including equations with solutions that require expanding expressions using the distributive property and collecting like terms. ",1,The student is presented with a linear equation with rational number coefficients or a scenario that can be modeled by a linear equation. The stimulus is in a real-world context. Variables may be on either side of the equal sign,,,,,,,,
8.1.D.2.SR.1,8.1.D.2.SR.1.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,1,c,1,The student is prompted to identify one or more equations with a given solution. ,1,The student is presented with a linear equation with rational number coefficients or a scenario that can be modeled by a linear equation. The stimulus is in a real-world context. Variables may be on either side of the equal sign,,,,,,,,
8.1.D.2.SR.1,8.1.D.2.SR.1.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,1,d,1,The student is prompted to identify one or more equations with a given solution. ,1,The student is presented with a linear equation with rational number coefficients or a scenario that can be modeled by a linear equation. The stimulus is in a real-world context. Variables may be on either side of the equal sign,,,,,,,,
8.1.D.2.SR.1,8.1.D.2.SR.1.e,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,1,e,1,The student is prompted to identify one or more coeffficients and/or constants that will make a given equation have a given solution,1,The student is presented with a linear equation with rational number coefficients or a scenario that can be modeled by a linear equation. The stimulus is in a real-world context. Variables may be on either side of the equal sign,,,,,,,,
8.1.D.2.SR.1,8.1.D.2.SR.1.f,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,1,f,1,The student is prompted to identify one or more coeffficients and/or constants that will make a given equation have a given solution,1,The student is presented with a linear equation with rational number coefficients or a scenario that can be modeled by a linear equation. The stimulus is in a real-world context. Variables may be on either side of the equal sign,Neil,,,,,,,
8.1.D.2.SR.2,8.1.D.2.SR.2.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,2,a,1,"The student is prompted to identify the solutions to linear equations with rational number coefficients, including equations with solutions that require expanding expressions using the distributive property and combining like terms. ",2,The student is presented with a solution to a linear equation. The stimulus and options are pure (not real-world context),Neil,,,,,,,
8.1.D.2.SR.2,8.1.D.2.SR.2.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,2,b,1,The student is prompted to identify one or more equations with a given solution.,2,The student is presented with a solution to a linear equation. The stimulus and options are pure (not real-world context),Neil,,,,,,,
8.1.D.2.SR.2,8.1.D.2.SR.2.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,2,c,1,The student is prompted to identify one or more coeffficients and/or constants that will make a given equation have a given solution,2,The student is presented with a solution to a linear equation. The stimulus and options are pure (not real-world context),Neil,,,,,,,
8.1.D.2.SR.2,8.1.D.2.SR.2.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,2,d,1,"The student is prompted to identify the solutions to linear equations with rational number coefficients, including equations with solutions that require expanding expressions using the distributive property and collecting like terms. ",2,The student is presented with a solution to a linear equation. The stimulus and options are in real-world contexts,Neil,,,,,,,
8.1.D.2.SR.2,8.1.D.2.SR.2.e,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,2,e,1,Or the student is prompted to identify one or more equations with a given solution.,2,The student is presented with a solution to a linear equation. The stimulus and options are in real-world contexts,Neil,,,,,,,
8.1.D.2.SR.2,8.1.D.2.SR.2.f,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,2,f,1,The student is prompted to identify one or more coeffficients and/or constants that will make a given equation have a given solution,2,The student is presented with a solution to a linear equation. The stimulus and options are in real-world contexts,Neil,,,,,,,
8.1.D.2.SR.3,8.1.D.2.SR.3.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,3,a,1,"The student is prompted to identify the solutions to linear equations with rational number coefficients, including equations with solutions that require expanding expressions using the distributive property and collecting like terms. ",3,The student is presented with a linear equation with one or more unknown coefficients and/or constants and a solution to the linear equation. The stimulus is pure. Variables may be on either side of the equal sign,Neil,,,,,,,
8.1.D.2.SR.3,8.1.D.2.SR.3.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,3,b,1,"The student is prompted to identify the solutions to linear equations with rational number coefficients, including equations with solutions that require expanding expressions using the distributive property and collecting like terms. ",3,The student is presented with a linear equation with one or more unknown coefficients and/or constants and a solution to the linear equation. The stimulus is in a real-world context. Variables may be on either side of the equal sign,Neil,,,,,,,
8.1.D.2.SR.3,8.1.D.2.SR.3.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,3,c,1,The student is prompted to identify one or more equations with a given solution.,3,The student is presented with a linear equation with one or more unknown coefficients and/or constants and a solution to the linear equation. The stimulus is pure. Variables may be on either side of the equal sign,,,,,,,,
8.1.D.2.SR.3,8.1.D.2.SR.3.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,3,d,1,The student is prompted to identify one or more equations with a given solution.,3,The student is presented with a linear equation with one or more unknown coefficients and/or constants and a solution to the linear equation. The stimulus is in a real-world context. Variables may be on either side of the equal sign,,,,,,,,
8.1.D.2.SR.3,8.1.D.2.SR.3.e,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,3,e,1,The student is prompted to identify one or more coefficients and/or constants that will make a given equation have a given solution,3,The student is presented with a linear equation with one or more unknown coefficients and/or constants and a solution to the linear equation. The stimulus is pure. Variables may be on either side of the equal sign,,,,,,,,
8.1.D.2.SR.3,8.1.D.2.SR.3.f,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,2.SR,3,f,1,The student is prompted to identify one or more coefficients and/or constants that will make a given equation have a given solution,3,The student is presented with a linear equation with one or more unknown coefficients and/or constants and a solution to the linear equation. The stimulus is in a real-world context. Variables may be on either side of the equal sign,,,,,,,,
8.1.D.3.CR.1,8.1.D.3.CR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,CR,3.CR,1,,1,"The student is prompted to solve a system of two linear equations in two variables, possibly showing an algebraic solution path as well. Or the student is prompted to create or complete a system of two linear equations in two variables with a given solution. Or the student is prompted to create or complete the system or two linear equations in two variables that models a real-world or mathematical problem. Or the student is prompted to create or complete one or more real-world or mathematical problems that can be modeled by a given system of two linear equations in two variables",1,"The student is presented with a system of two linear equations in two variables. The system may be given in the form of a real-world or mathematical problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,,,,,,,
8.1.D.3.CR.2,8.1.D.3.CR.2.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,CR,3.CR,2,,1,"The student is prompted to solve a system of two linear equations in two variables, possibly showing an algebraic solution path as well. Or the student is prompted to create or complete a system of two linear equations in two variables with a given solution. Or the student is prompted to create or complete the system or two linear equations in two variables that models a real-world or mathematical problem. Or the student is prompted to create or complete one or more real-world or mathematical problems that can be modeled by a given system of two linear equations in two variables",2,"The student is presented with the solution to a system of two linear equations in two variables. The student may need to create or complete one or more systems of equations, real-world problems, or mathematical problems that have the given solution",Justin,,,,,,,
8.1.D.3.CR.3,8.1.D.3.CR.3.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,CR,3.CR,3,,1,"The student is prompted to solve a system of two linear equations in two variables, possibly showing an algebraic solution path as well. Or the student is prompted to create or complete a system of two linear equations in two variables with a given solution. Or the student is prompted to create or complete the system or two linear equations in two variables that models a real-world or mathematical problem. Or the student is prompted to create or complete one or more real-world or mathematical problems that can be modeled by a given system of two linear equations in two variables",3,The student is presented with a real-world or mathematical problem,Justin,,,,,,,
8.1.D.3.CR.4,8.1.D.3.CR.4.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,CR,3.CR,4,,1,"The student is prompted to solve a system of two linear equations in two variables, possibly showing an algebraic solution path as well. Or the student is prompted to create or complete a system of two linear equations in two variables with a given solution. Or the student is prompted to create or complete the system or two linear equations in two variables that models a real-world or mathematical problem. Or the student is prompted to create or complete one or more real-world or mathematical problems that can be modeled by a given system of two linear equations in two variables",4,"The student is presented with a system of two linear equations in two variables. The equations may be in any form, including standard and slope-intercept",Justin,,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,a,1,The student is prompted to identify the solution to a system of two linear equations in two variables. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a real-world problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,,,,,"Related to: Systems of equations word problems, Age word problems",,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/systems_of_equations_word_problems.html
8.1.D.3.SR.1,8.1.D.3.SR.1.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,b,1,The student is prompted to identify the solution to a system of two linear equations in two variables. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a mathematical problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,,,,,Related to: Systems of equations,,http://sandcastle.khanacademy.org/media/castles/origin:master/exercises/systems_of_equations.html
8.1.D.3.SR.1,8.1.D.3.SR.1.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,c,1,The student is prompted to identify systems of two linear equations in two variables with given solutions. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a real-world problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,d,1,The student is prompted to identify systems of two linear equations in two variables with given solutions. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a mathematical problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.e,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,e,1,The student is prompted to identify the system of two linear equations in two variables that models a real-world or mathematical problem. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a real-world problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.f,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,f,1,The student is prompted to identify the system of two linear equations in two variables that models a real-world or mathematical problem. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a mathematical problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,"Does ""in the form of mathematical problem"" mean something different from the system of equations? Do they mean a verbal statement without context?",,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.g,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,g,1,The student is prompted to identify one or more real-world or mathematical problems that can be modeled by given system of linear equations in two variables,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a real-world problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.h,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,h,1,The student is prompted to identify one or more real-world or mathematical problems that can be modeled by given system of linear equations in two variables,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a mathematical problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.i,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,i,1,The student is prompted to identify the solution to a system of two linear equations in two variables. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a real-world problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,Tags 8.1.D.3.SR.1 i-p seem to duplicate tags a-h,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.j,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,j,1,The student is prompted to identify the solution to a system of two linear equations in two variables. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a mathematical problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,Tags 8.1.D.3.SR.1 i-p seem to duplicate tags a-h,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.k,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,k,1,The student is prompted to identify systems of two linear equations in two variables with given solutions. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a real-world problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,Tags 8.1.D.3.SR.1 i-p seem to duplicate tags a-h,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.l,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,l,1,The student is prompted to identify systems of two linear equations in two variables with given solutions. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a mathematical problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,Tags 8.1.D.3.SR.1 i-p seem to duplicate tags a-h,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.m,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,m,1,The student is prompted to identify the system of two linear equations in two variables that models a real-world or mathematical problem. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a real-world problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,Tags 8.1.D.3.SR.1 i-p seem to duplicate tags a-h,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.n,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,n,1,The student is prompted to identify the system of two linear equations in two variables that models a real-world or mathematical problem. ,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a mathematical problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,Tags 8.1.D.3.SR.1 i-p seem to duplicate tags a-h,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.o,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,o,1,The student is prompted to identify one or more real-world or mathematical problems that can be modeled by given system of linear equations in two variables,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a real-world problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,Tags 8.1.D.3.SR.1 i-p seem to duplicate tags a-h,,,,,,
8.1.D.3.SR.1,8.1.D.3.SR.1.p,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,1,p,1,The student is prompted to identify one or more real-world or mathematical problems that can be modeled by given system of linear equations in two variables,1,"The student is presented with a system of two linear equations in two variables. The system is in the form of a mathematical problem. If equations are given, they may be in any form, including standard and slope-intercept",Justin,Tags 8.1.D.3.SR.1 i-p seem to duplicate tags a-h,,,,,,
8.1.D.3.SR.2,8.1.D.3.SR.2.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,2,a,1,The student is prompted to identify the solution to a system of two linear equations in two variables. ,2,"The student is presented with the solution to a system of two linear equations in two variables. The student may need to identify one or more systems of equations, real-world problems, or mathematical problems that have the given solution.",Justin,"Given a solution, identify a solution?",,,,,,
8.1.D.3.SR.2,8.1.D.3.SR.2.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,2,b,1,The student is prompted to identify systems of two linear equations in two variables with given solutions. ,2,"The student is presented with the solution to a system of two linear equations in two variables. The student may need to identify one or more systems of equations, real-world problems, or mathematical problems that have the given solution.",Justin,,,,,,,
8.1.D.3.SR.2,8.1.D.3.SR.2.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,2,c,1,The student is prompted to identify the system of two linear equations in two variables that models a real-world or mathematical problem. ,2,"The student is presented with the solution to a system of two linear equations in two variables. The student may need to identify one or more systems of equations, real-world problems, or mathematical problems that have the given solution.",Justin,,,,,,,
8.1.D.3.SR.2,8.1.D.3.SR.2.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,2,d,1,The student is prompted to identify one or more real-world or mathematical problems that can be modeled by given system of linear equations in two variables,2,"The student is presented with the solution to a system of two linear equations in two variables. The student may need to identify one or more systems of equations, real-world problems, or mathematical problems that have the given solution.",Justin,,,,,,,
8.1.D.3.SR.3,8.1.D.3.SR.3.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,3,a,1,The student is prompted to identify the solution to a system of two linear equations in two variables. ,3,The student is presented with a real-world problem,Justin,,,,,,,
8.1.D.3.SR.3,8.1.D.3.SR.3.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,3,b,1,The student is prompted to identify systems of two linear equations in two variables with given solutions. ,3,The student is presented with a real-world problem,Justin,,,,,,,
8.1.D.3.SR.3,8.1.D.3.SR.3.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,3,c,1,The student is prompted to identify the system of two linear equations in two variables that models a real-world or mathematical problem. ,3,The student is presented with a real-world problem,Justin,,,,,,,
8.1.D.3.SR.3,8.1.D.3.SR.3.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,3,d,1,The student is prompted to identify one or more real-world or mathematical problems that can be modeled by given system of linear equations in two variables,3,The student is presented with a real-world problem,Justin,,,,,,,
8.1.D.3.SR.3,8.1.D.3.SR.3.e,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,3,e,1,The student is prompted to identify the solution to a system of two linear equations in two variables. ,3,The student is presented with a mathematical problem,Justin,,,,,,,
8.1.D.3.SR.3,8.1.D.3.SR.3.f,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,3,f,1,The student is prompted to identify systems of two linear equations in two variables with given solutions. ,3,The student is presented with a mathematical problem,Justin,,,,,,,
8.1.D.3.SR.3,8.1.D.3.SR.3.g,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,3,g,1,The student is prompted to identify the system of two linear equations in two variables that models a real-world or mathematical problem. ,3,The student is presented with a mathematical problem,Justin,,,,,,,
8.1.D.3.SR.3,8.1.D.3.SR.3.h,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,3,h,1,The student is prompted to identify one or more real-world or mathematical problems that can be modeled by given system of linear equations in two variables,3,The student is presented with a mathematical problem,Justin,,,,,,,
8.1.D.3.SR.4,8.1.D.3.SR.4.a,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,4,a,1,The student is prompted to identify the solution to a system of two linear equations in two variables. ,4,The student is presented with a system of two linear equations in two variables. The equations are in standard form,Justin,,,,,,,
8.1.D.3.SR.4,8.1.D.3.SR.4.b,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,4,b,1,The student is prompted to identify systems of two linear equations in two variables with given solutions. ,4,The student is presented with a system of two linear equations in two variables. The equations are in standard form,Justin,,,,,,,
8.1.D.3.SR.4,8.1.D.3.SR.4.c,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,4,c,1,The student is prompted to identify the system of two linear equations in two variables that models a real-world or mathematical problem. ,4,The student is presented with a system of two linear equations in two variables. The equations are in standard form,Justin,,,,,,,
8.1.D.3.SR.4,8.1.D.3.SR.4.d,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,4,d,1,The student is prompted to identify one or more real-world or mathematical problems that can be modeled by given system of linear equations in two variables,4,The student is presented with a system of two linear equations in two variables. The equations are in standard form,Justin,,,,,,,
8.1.D.3.SR.4,8.1.D.3.SR.4.e,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,4,e,1,The student is prompted to identify the solution to a system of two linear equations in two variables. ,4,The student is presented with a system of two linear equations in two variables. The equations are in slope-intercept form,Justin,,,,,,,
8.1.D.3.SR.4,8.1.D.3.SR.4.f,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,4,f,1,The student is prompted to identify systems of two linear equations in two variables with given solutions. ,4,The student is presented with a system of two linear equations in two variables. The equations are in slope-intercept form,Justin,,,,,,,
8.1.D.3.SR.4,8.1.D.3.SR.4.g,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,4,g,1,The student is prompted to identify the system of two linear equations in two variables that models a real-world or mathematical problem. ,4,The student is presented with a system of two linear equations in two variables. The equations are in slope-intercept form,Justin,,,,,,,
8.1.D.3.SR.4,8.1.D.3.SR.4.h,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,3.SR,4,h,1,The student is prompted to identify one or more real-world or mathematical problems that can be modeled by given system of linear equations in two variables,4,The student is presented with a system of two linear equations in two variables. The equations are in slope-intercept form,Justin,,,,,,,
8.1.D.4.CR.1,8.1.D.4.CR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,CR,4.CR,1,,1,The student is prompted to estimate the solution to a system of two linear equations in two variables by looking at a graph of the equations. Or the student is prompted to create or complete one or more real-world or mathematical problems that can be modeled by a given graph of a system of two linear equations in two variables,1,The student is presented with a graph of a system of two linear equations in two variables,Justin,,,,,,,
8.1.D.4.SR.1,8.1.D.4.SR.1.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,4.SR,1,,1,The student is prompted to identify the approximate solution to a system of two linear equations in two variables by looking a graph of the equations. Or the student is prompted to identify one or more graphs that show systems of two linear equations in two variables with given solutions. Or the student is prompted to identify the graph of a system of two linear equations in two variables that models a real-world or mathematical problem. Or the student is prompted to identify one or more real-world or mathematical problems that can be modeled by a given graph of a system of two linear equations in two variables,1,The student is presented with a graph of a system of two linear equations in two variables,Justin,Distilled: Find approximate solution given a graph,,,,,,
8.1.D.4.SR.2,8.1.D.4.SR.2.,8,1 - Students can explain and apply mathematical concepts and carry out mathematical procedures with precision and fluency.,D - Analyze and solve linear equations and pairs of simultaneous linear equations,SR,4.SR,2,,1,The student is prompted to identify the approximate solution to a system of two linear equations in two variables by looking a graph of the equations. Or the student is prompted to identify one or more graphs that show systems of two linear equations in two variables with given solutions. Or the student is prompted to identify the graph of a system of two linear equations in two variables that models a real-world or mathematical problem. Or the student is prompted to identify one or more real-world or mathematical problems that can be modeled by a given graph of a system of two linear equations in two variables,2,The student is presented with the solution to a system of two linear equations in two variables,Justin,Distilled: Identify graph given solution.,,,,,,
